Sanger name	Sanger COSMIC ID	CCLE Label	CCLE name
ACHN	905950	ACHN_KIDNEY	ACHN
LoVo	907790	LOVO_LARGE_INTESTINE	LoVo
SK-MEL-30	909726	SKMEL30_SKIN	SK-MEL-30
22RV1	924100	22RV1_PROSTATE	22Rv1
C32	906830	C32_SKIN	C32
PANC-03-27	925346	PANC0327_PANCREAS	Panc 03.27
RPMI-8226	905964	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI 8226
NCI-H1395	684681	NCIH1395_LUNG	NCI-H1395
LS-1034	917486	LS1034_LARGE_INTESTINE	LS1034
SW48	909751	SW48_LARGE_INTESTINE	SW48
CHP-212	906820	CHP212_AUTONOMIC_GANGLIA	CHP-212
NCI-H747	908457	NCIH747_LARGE_INTESTINE	NCI-H747
SW1417	909747	SW1417_LARGE_INTESTINE	SW1417
SW948	909757	SW948_LARGE_INTESTINE	SW948
MDA-MB-415	924240	MDAMB415_BREAST	MDA-MB-415
DMS-79	753551	DMS79_LUNG	DMS 79
MDA-MB-468	908123	MDAMB468_BREAST	MDA-MB-468
NCI-H526	688025	NCIH526_LUNG	NCI-H526
BT-549	905951	BT549_BREAST	BT-549
NCI-H2196	908481	NCIH2196_LUNG	NCI-H2196
CAL-85-1	910852	CAL851_BREAST	CAL-85-1
EFO-21	911905	EFO21_OVARY	EFO-21
A375	906793	A375_SKIN	A-375
HT-29	905939	HT29_LARGE_INTESTINE	HT-29
NCI-H446	688023	NCIH446_LUNG	NCI-H446
SK-MEL-5	905956	SKMEL5_SKIN	SK-MEL-5
RMG-I	909699	RMGI_OVARY	RMG-I
PC-3	905934	PC3_PROSTATE	PC-3
RT-112	909704	RT112_URINARY_TRACT	RT-112
NUGC-3	908455	NUGC3_STOMACH	NUGC-3
U-87-MG	687590	U87MG_CENTRAL_NERVOUS_SYSTEM	U-87 MG
OE19	910079	OE19_OESOPHAGUS	OE19
KM12	905989	KM12_LARGE_INTESTINE	KM12
T84	909761	T84_LARGE_INTESTINE	T84
Calu-1	724858	CALU1_LUNG	Calu-1
LOXIMVI	905974	LOXIMVI_SKIN	LOX IMVI
NCI-H2170	687815	NCIH2170_LUNG	NCI-H2170
AN3-CA	910781	AN3CA_ENDOMETRIUM	AN3 CA
UACC-257	905977	UACC257_SKIN	UACC-257
KYSE-510	907321	KYSE510_OESOPHAGUS	KYSE-510
HuP-T4	907286	HUPT4_PANCREAS	HUP-T4
KYSE-150	907317	KYSE150_OESOPHAGUS	KYSE-150
PSN1	910546	PSN1_PANCREAS	PSN1
NCI-H1299	724831	NCIH1299_LUNG	NCI-H1299
SCC-25	910701	SCC25_UPPER_AERODIGESTIVE_TRACT	SCC-25
MHH-NB-11	908135	MHHNB11_AUTONOMIC_GANGLIA	MHH-NB-11
HCC1806	907047	HCC1806_BREAST	HCC1806
MONO-MAC-6	908148	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONO-MAC-6
MKN7	924250	MKN7_STOMACH	MKN7
SW1710	909749	SW1710_URINARY_TRACT	SW-1710
MOLT-13	908146	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-13
SR	905965	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SR-786
SCC-15	910911	SCC15_UPPER_AERODIGESTIVE_TRACT	SCC-15
NCI-H2126	687814	NCIH2126_LUNG	NCI-H2126
NCI-H2141	688014	NCIH2141_LUNG	NCI-H2141
RD	909264	RD_SOFT_TISSUE	RD
TT	930299	TT_THYROID	TT
UACC-812	910910	UACC812_BREAST	UACC-812
CAL-148	924106	CAL148_BREAST	CAL-148
MDA-MB-134-VI	908119	MDAMB134VI_BREAST	MDA-MB-134-VI
HCC1599	749713	HCC1599_BREAST	HCC1599
SK-MM-2	753612	SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SK-MM-2
COLO-680N	906817	COLO680N_OESOPHAGUS	COLO-680N
COLO-678	910689	COLO678_LARGE_INTESTINE	COLO-678
LAMA-84	907783	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LAMA-84
EHEB	906854	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EHEB
CAL-54	910952	CAL54_KIDNEY	CAL-54
BV-173	910710	BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV-173
DOHH-2	906842	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DOHH-2
NALM-6	908158	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-6
VM-CUB-1	909780	VMCUB1_URINARY_TRACT	VM-CUB1
LP-1	907791	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LP-1
LXF-289	753592	LXF289_LUNG	LXF-289
PF-382	909260	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PF-382
OCI-AML2	910947	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-AML2
KE-37	907277	KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE-37
KARPAS-422	907274	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-422
L-540	907323	L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-540
HDLM-2	924110	HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDLM-2
SCLC-21H	753611	SCLC21H_LUNG	SCLC-21H
Calu-3	687777	CALU3_LUNG	Calu-3
NCI-H2009	724873	NCIH2009_LUNG	NCI-H2009
HCC1419	907045	HCC1419_BREAST	HCC1419
SHP-77	724872	SHP77_LUNG	SHP-77
NB1	949179	NB1_AUTONOMIC_GANGLIA	NB-1
ZR-75-30	909907	ZR7530_BREAST	ZR-75-30
NCI-H2405	687821	NCIH2405_LUNG	NCI-H2405
DEL	906836	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL
BEN	753534	BEN_LUNG	BEN
RPMI-8402	909702	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI-8402
SU-DHL-1	909742	SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-1
P12-ICHIKAWA	909251	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P12-ICHIKAWA
BFTC-905	910926	BFTC905_URINARY_TRACT	BFTC-905
BFTC-909	910698	BFTC909_KIDNEY	BFTC-909
MHH-ES-1	908134	MHHES1_BONE	MHH-ES-1
